song_id,song_name,song_author,song_file,bpm,Easy,Normal,Hard,Expert,ExpertPlus
africatotometalcover,Africa - Toto (Metal Cover),"Leo Moracchioli, Rabea, Hannah",song.ogg,105,,,,,ExpertPlus.dat
alerion,Alerion,Asking Alexandria,song.ogg,130,,NormalStandard.dat,HardStandard.dat,,ExpertPlusStandard.dat
alittlepieceofheaven,A Little Piece of Heaven,Avenged Sevenfold,song.ogg,144.98599243164062,,,,,
alleyesonmesongonly,All Eyes On Me (Song Only),Bo Burnham,song.ogg,117,,,HardStandard.dat,,
allfutures,ALL FUTURES,The Armed,song.ogg,117,,,,ExpertStandard.dat,
allsoulsnight,All souls night,Triddana,song.ogg,160.0,Easy.dat,,,,
allthesethingsthativedone,All These Things That Ive Done,The Killers,song.ogg,118.18299865722656,,,HardStandard.dat,,
amishparadise,Amish Paradise,Weird Al Yankovic,song.ogg,82.0,Easy.dat,,,,
amongststars,Amongst Stars,Amorphis,AmongstStars.ogg,136,,,,,ExpertPlusStandard.dat
amongusdriptrapremix,Among Us Drip (Trap Remix),Leonz,song.ogg,90.0,Easy.dat,,,,
anarchyintheuk,Anarchy in the UK,Genesis Owusu,song.ogg,101,,,,ExpertStandard.dat,
anewsagabegins,A New Saga Begins,Rhapsody Of Fire,song.ogg,105,EasyStandard.dat,,,,
animals,Animals,Architects,song.ogg,190,,,HardStandard.dat,,
anothermedium,Another Medium,Toby Fox,song.ogg,130.0,Easy.dat,,,,
anythingtonumb,Anything to Numb,Varials,song.ogg,158.0,Easy.dat,,,,
apunk,APunk,Vampire Weekend,song.ogg,175,,Normal.dat,Hard.dat,Expert.dat,
armyofthenight,Army of the Night,Powerwolf,song.ogg,172,,,,,ExpertPlusStandard.dat
arsonist,Arsonist,"Barely Alive, PhaseOne, Virus Syndicate",song.ogg,150,,,HardStandard.dat,ExpertStandard.dat,ExpertPlusStandard.dat
asgore,ASGORE,Toby Fox,song.ogg,113.0,Easy.dat,,,,
ashenrain,Ashen Rain,Orden Ogan,song.ogg,205.0,Easy.dat,,,,
asylum,Asylum,Vended,song.ogg,140,,,,ExpertStandard.dat,ExpertPlusStandard.dat
averysmallwish,A Very Small Wish,Yoko Shimomura,song.ogg,106.65,Easy.dat,,,,
awholenewworldmetalcover,A whole new world (Metal Cover),D-Metal Stars,song.ogg,140.0,Easy.dat,,,,
awolfinmyheart,A Wolf In My Heart,Heidevolk,song.ogg,134.0,Easy.dat,Normal.dat,,,
badapplemetalcover,Bad Apple Metal Cover,RichaadEB,song.ogg,130.0,Easy.dat,,,,
bakamitai,Baka Mitai,Kazuma Kiryu,song.ogg,148.0,,Normal.dat,,,
barbarianism,Barbarianism,Ian Taylor,song.ogg,120.0,Easy.dat,,,,
barrenking,Barren King,Manntra,barren king manntra.ogg,204.0,Easy.dat,,,,
bastardsonofodin,Bastard Son of Odin,Battle Beast,song.ogg,160,,,,,ExpertPlusStandard.dat
battleelitefour,Battle! (Elite Four),Junichi Masuda,song.ogg,106.5,Easy.dat,,,,
battleforeternity,Battle For Eternity,Gloryhammer,song.ogg,105,,,HardStandard.dat,ExpertStandard.dat,ExpertPlusStandard.dat
beastofgevaudan,Beast of Gevaudan,Powerwolf,song.ogg,102.0,Easy.dat,,,,
