song_id,song_name,song_author,song_file,bpm,Easy,Normal,Hard,Expert,ExpertPlus
aaj,Aaj,Bloodywood,song.ogg,180.0,Easy.dat,,,,
africatotometalcover,Africa - Toto (Metal Cover),"Leo Moracchioli, Rabea, Hannah",song.ogg,105.0,,,,,ExpertPlus.dat
afterlife,Afterlife,Avenged Sevenfold,song.ogg,220.0,Easy.dat,,,,
alerion,Alerion,Asking Alexandria,song.ogg,130.0,,NormalStandard.dat,HardStandard.dat,,ExpertPlusStandard.dat
alittlepieceofheaven,A Little Piece of Heaven,Avenged Sevenfold,song.ogg,144.98599243164062,,,,,
alleyesonmesongonly,All Eyes On Me (Song Only),Bo Burnham,song.ogg,117.0,,,HardStandard.dat,,
allfutures,ALL FUTURES,The Armed,song.ogg,117.0,,,,ExpertStandard.dat,
alliwant,All I Want,A Day To Remember,song.ogg,160.0,Easy.dat,,,,
allsoulsnight,All souls night,Triddana,song.ogg,160.0,Easy.dat,,,,
allstar,All Star,Smash Mouth,song.ogg,104.0,Easy.dat,,,,
allthesethingsthativedone,All These Things That Ive Done,The Killers,song.ogg,118.18299865722656,,,HardStandard.dat,,
amalfi,Amalfi,Engelwood & iamalex,song.ogg,122.0,Easy.dat,,,,
amishparadise,Amish Paradise,Weird Al Yankovic,song.ogg,82.0,Easy.dat,,,,
amongststars,Amongst Stars,Amorphis,AmongstStars.ogg,136.0,,,,,ExpertPlusStandard.dat
amongusdriptrapremix,Among Us Drip (Trap Remix),Leonz,song.ogg,90.0,Easy.dat,,,,
anarchyintheuk,Anarchy in the UK,Genesis Owusu,song.ogg,101.0,,,,ExpertStandard.dat,
angusmcfife,Angus McFife,GloryHammer,song.ogg,90.0,Easy.dat,Normal.dat,,,
animals,Animals,Nickelback,song.ogg,77.0,Easy.dat,Normal.dat,,,
anothermedium,Another Medium,Toby Fox,song.ogg,130.0,Easy.dat,,,,
anythingtonumb,Anything to Numb,Varials,song.ogg,158.0,Easy.dat,,,,
apunk,APunk,Vampire Weekend,song.ogg,175.0,,Normal.dat,Hard.dat,Expert.dat,
archangel,Archangel,Amaranthe,song.ogg,180.0,Easy.dat,,,,
armageddon,Armageddon,Battle Beast,song.ogg,156.0,Easy.dat,Normal.dat,,,
armyofthenight,Army of the Night,Powerwolf,song.ogg,172.0,,,,,ExpertPlusStandard.dat
arsonist,Arsonist,"Barely Alive, PhaseOne, Virus Syndicate",song.ogg,150.0,,,HardStandard.dat,ExpertStandard.dat,ExpertPlusStandard.dat
artifacter,Artifacter,,song.ogg,181.0,,,,,ExpertPlus.dat
asgore,ASGORE,Toby Fox,song.ogg,113.0,Easy.dat,,,,
